age,hours_per_week,marital_status,relationship,education,occupation,capital_net,income
38,40,divorced,not_in_family,hs_grad,handlers_cleaners,0,no
53,40,married_civ_spouse,husband,11th,handlers_cleaners,0,no
28,40,married_civ_spouse,wife,bachelors,prof_specialty,0,no
37,40,married_civ_spouse,wife,masters,exec_managerial,0,no
52,45,married_civ_spouse,husband,hs_grad,exec_managerial,0,yes
30,40,married_civ_spouse,husband,bachelors,prof_specialty,0,yes
23,30,never_married,own_child,bachelors,adm_clerical,0,no
32,50,never_married,not_in_family,assoc_acdm,sales,0,no
40,40,married_civ_spouse,husband,assoc_voc,craft_repair,0,yes
34,45,married_civ_spouse,husband,7th-8th,transport_moving,0,no
25,35,never_married,own_child,hs_grad,farming_fishing,0,no
32,40,never_married,unmarried,hs_grad,machine_op_inspct,0,no
38,50,married_civ_spouse,husband,11th,sales,0,no
43,45,divorced,unmarried,masters,exec_managerial,0,yes
40,60,married_civ_spouse,husband,doctorate,prof_specialty,0,yes
35,40,married_civ_spouse,husband,9th,farming_fishing,0,no
59,40,divorced,unmarried,hs_grad,tech_support,0,no
56,40,married_civ_spouse,husband,bachelors,tech_support,0,yes
19,40,never_married,own_child,hs_grad,craft_repair,0,no
54,60,married_civ_spouse,husband,some_college,exec_managerial,0,yes
49,40,married_civ_spouse,husband,hs_grad,craft_repair,0,no
23,52,never_married,not_in_family,assoc_acdm,protective_serv,0,no
20,44,never_married,own_child,some_college,sales,0,no
30,40,married_civ_spouse,own_child,some_college,adm_clerical,0,no
48,40,never_married,unmarried,11th,machine_op_inspct,0,no
21,40,never_married,own_child,some_college,machine_op_inspct,0,no
31,38,married_civ_spouse,husband,some_college,sales,0,yes
48,40,married_civ_spouse,husband,assoc_acdm,prof_specialty,0,no
31,43,married_civ_spouse,husband,9th,machine_op_inspct,0,no
53,40,married_civ_spouse,husband,bachelors,prof_specialty,0,no
24,50,married_civ_spouse,husband,bachelors,tech_support,0,no
49,40,separated,unmarried,hs_grad,adm_clerical,0,no
25,35,never_married,not_in_family,hs_grad,handlers_cleaners,0,no
57,40,married_civ_spouse,husband,bachelors,prof_specialty,0,yes
53,38,married_civ_spouse,husband,hs_grad,machine_op_inspct,0,no
44,40,divorced,unmarried,masters,exec_managerial,0,no
41,40,married_civ_spouse,husband,assoc_voc,craft_repair,0,no
29,43,never_married,not_in_family,assoc_voc,prof_specialty,0,no
25,40,married_civ_spouse,wife,some_college,exec_managerial,0,no
18,30,never_married,own_child,hs_grad,other_service,0,no
50,55,divorced,not_in_family,bachelors,exec_managerial,0,yes
47,60,divorced,not_in_family,hs_grad,exec_managerial,0,no
43,40,married_civ_spouse,husband,some_college,tech_support,0,yes
46,40,married_civ_spouse,husband,5th-6th,machine_op_inspct,0,no
35,40,married_civ_spouse,husband,assoc_voc,other_service,0,no
41,48,married_civ_spouse,husband,hs_grad,adm_clerical,0,no
32,40,married_spouse_absent,not_in_family,7th-8th,craft_repair,0,no
48,40,married_civ_spouse,husband,hs_grad,transport_moving,0,no
42,45,married_civ_spouse,husband,doctorate,prof_specialty,0,yes
29,58,divorced,not_in_family,some_college,tech_support,0,no
36,40,married_civ_spouse,husband,hs_grad,craft_repair,0,no
28,40,divorced,not_in_family,some_college,adm_clerical,0,no
53,40,married_civ_spouse,wife,hs_grad,adm_clerical,0,yes
49,50,married_civ_spouse,husband,some_college,exec_managerial,0,yes
25,40,never_married,own_child,some_college,craft_repair,0,no
19,32,never_married,own_child,some_college,prof_specialty,0,no
31,40,separated,own_child,bachelors,sales,0,no
23,40,never_married,not_in_family,some_college,machine_op_inspct,0,no
27,40,never_married,own_child,hs_grad,other_service,0,no
40,40,married_civ_spouse,husband,assoc_acdm,adm_clerical,0,no
31,40,married_civ_spouse,husband,7th-8th,farming_fishing,0,no
18,30,never_married,not_in_family,hs_grad,sales,0,no
52,40,married_civ_spouse,husband,bachelors,other_service,0,no
46,40,married_civ_spouse,wife,hs_grad,other_service,0,no
59,48,married_civ_spouse,husband,hs_grad,sales,0,no
53,35,divorced,own_child,hs_grad,sales,0,no
49,40,married_civ_spouse,husband,hs_grad,protective_serv,0,yes
